mean_vel,std_vel,temp_ste,temp_mag,temp_roms,temp_mean,temp_tc,temp_zcr,temp_itv,temp_var,temp_std,temp_skewness,temp_kurtosis,temp_ce,temp_ce_norm,temp_crest,temp_max2min,temp_mag2rms,temp_rms2,temp_rssl,temp_mnp,temp_adp,temp_ety,temp_md,temp_iqr2,spec_f0,spec_ste,spec_mag,spec_sc,spec_si,spec_sim,spec_sfm,spec_flux,spec_sro,spec_var,spec_std,spec_skw,spec_kts,spec_max2min,spec_mag2rms,spec_mnp,spec_adp,spec_ety,spec_cov1,spec_cov2,spec_cov3,spec_peaks1,spec_peaks2,spec_peaks3,spec_peaks4,spec_peaks5,spec_peaks6,spec_peaks7,spec_peaks8,spec_peaks9,spec_peaks10,spec_peaks11,spec_peaks12,spec_power1,spec_power2,spec_power3,spec_power4,spec_power5,spec_iqr2,label
0.4284578730,0.0792730764,0.0317611272,0.1177754950,0.1130350183,0.3644802498,0.7264900235,0.4156378601,0.0530712196,0.0317611272,0.1130350183,0.1305720808,0.0091346129,0.0835204890,0.0835204890,0.0997635791,0.0530712196,0.0722732722,0.1130350183,0.1130350183,0.2896551724,0.6057981100,0.8205602136,0.8786925014,0.1156755882,0.0313725490,0.0068218471,0.0332974237,0.3900089735,0.0795006228,0.8880992751,0.5627475621,0.0305769702,0.2500000000,0.0077732175,0.0372715434,0.1509142165,0.0318689073,0.0337928548,0.1513242022,0.7500000000,0.1905106845,0.7454936526,0.0317611272,0.3888888889,0.3933634662,0.0298507463,0.1049723757,0.0905349794,0.0774410774,0.0692771084,0.0919540230,0.0066489712,0.0080943265,0.0538659364,0.0428431143,0.0120905313,0.0359869587,0.0283762665,0.0312311632,0.0175467337,0.0248090531,0.0577197649,0.0192605210,bom
0.4809948316,0.0359743057,0.0598628284,0.1980206342,0.1789888298,0.4702143674,0.4922459902,0.4732510288,0.0877860891,0.0598628284,0.1789888298,0.1319827805,0.0069684971,0.1505174580,0.1505174580,0.1141610233,0.0877860891,0.0763510442,0.1789888298,0.1789888298,0.4344827586,0.4568021080,0.8092004949,0.8859139441,0.2153041297,0.0000000000,0.0424267406,0.1420168172,0.4575797413,0.2677896458,0.6918914840,0.5167532642,0.1462500807,0.3571428571,0.0472736762,0.1548754795,0.2023416113,0.0749891942,0.2181312950,0.2648939493,0.5312500000,0.3514829571,0.6216266046,0.0598628284,0.0833333333,0.3964160693,0.0149253731,0.0386740331,0.0452674897,0.0370370370,0.0240963855,0.0229885057,0.0623999086,0.0218290816,0.0277917050,0.0211314829,0.0657542950,0.0244322669,0.0340758824,0.0561408064,0.0137798065,0.0347572968,0.0525944014,0.1494882138,bom
0.5594934870,0.0358090329,0.1727379568,0.2865334722,0.3593669112,0.3515736069,0.7661143806,0.3621399177,0.3674016810,0.1727379568,0.3593669112,0.3825752052,0.1577557516,0.3008499324,0.3008499324,0.4692176267,0.3674016810,0.3990048519,0.3593669112,0.3593669112,0.2551724138,0.6536042779,0.3286286963,0.7576432369,0.2229382550,0.0352941176,0.0382379742,0.1424993815,0.3730490610,0.2816207087,0.7557498604,0.6846788120,0.1718600908,0.4107142857,0.0344389675,0.1233101654,0.1549500320,0.0488286542,0.1756180732,0.2118606590,0.6250000000,0.2948207171,0.6957259527,0.1727379568,0.0000000000,0.4705830162,0.0447761194,0.0165745856,0.0740740741,0.1043771044,0.1174698795,0.1005747126,0.0114837645,0.0499073245,0.1959299755,0.0458837005,0.0520252342,0.0956017189,0.1335790746,0.1021647283,0.1520249118,0.1040004537,0.1609692059,0.1010128184,regular
0.5976271816,0.0488870324,0.1583811611,0.2964722687,0.3403917610,0.4582555125,0.3281968033,0.4012345679,0.3441440815,0.1583811611,0.3403917610,0.2499265619,0.0965877246,0.2733061195,0.2733061195,0.4567220409,0.3441440815,0.4398409647,0.3403917610,0.3403917610,0.3724137931,0.5189393808,0.4204427759,0.8674787994,0.2487728193,0.0392156863,0.1407826861,0.3428243737,0.4940118383,0.5495228091,0.4919192140,0.7898475035,0.3047549380,0.5535714286,0.1144270401,0.2802492915,0.1243366613,0.0426787779,0.3279777266,0.1485292302,0.7812500000,0.1315188683,0.7519785295,0.1583811611,0.6944444444,0.4321687151,0.3134328358,0.1491712707,0.1275720165,0.1346801347,0.1686746988,0.1637931034,0.0139666572,0.0320559270,0.1445005651,0.1831412914,0.0642305385,0.0501335843,0.1157649369,0.1797161980,0.1196005910,0.1037282029,0.1110936857,0.2630239945,regular
0.6633914658,0.0429953735,0.1106657235,0.2552341696,0.2707076419,0.4363170072,0.2623539107,0.4794238683,0.2087977327,0.1106657235,0.2707076419,0.1940459631,0.0336259194,0.2323042446,0.2323042446,0.2886759804,0.2087977327,0.2126620187,0.2707076419,0.2707076419,0.4482758621,0.4406552892,0.5661296509,0.7890001655,0.2133818541,0.4980392157,0.1059660617,0.2890511286,0.4421336823,0.4811923720,0.5310520409,0.7669039498,0.2475641734,0.5357142857,0.0843026818,0.2298088816,0.0728915961,0.0166243913,0.2027153147,0.0754370294,0.6875000000,0.2414527935,0.8717325090,0.1106657235,0.2777777778,0.3907616193,0.0149253731,0.0497237569,0.0534979424,0.0437710438,0.0451807229,0.2356321839,0.0254997350,0.0191303451,0.0955982727,0.0703859374,0.0340994778,0.0210540750,0.0775006697,0.0524833823,0.0575967814,0.0561307843,0.1787391457,0.2303552522,regular
0.7102616938,0.0101579362,0.0387995474,0.1486154972,0.1312058834,0.6110723943,0.5018973518,0.5905349794,0.0408142804,0.0387995474,0.1312058834,0.1408202698,0.0023536740,0.1253789104,0.1253789104,0.0282542815,0.0408142804,0.0215579609,0.1312058834,0.1312058834,0.5310344828,0.3631897728,0.9463274455,0.8886104767,0.1613322981,0.8078431373,0.0245282080,0.0931844009,0.5543681357,0.1934232177,0.7687745669,0.5291109567,0.0994548679,0.3928571429,0.0286966378,0.1076985679,0.2590029735,0.1124408309,0.1974121761,0.3477959853,0.5937500000,0.2948207171,0.5347356254,0.0387995474,0.3888888889,0.4038898538,0.2686567164,0.0994475138,0.0740740741,0.0740740741,0.0783132530,0.0775862069,0.0034900541,0.0100467732,0.0538701882,0.0261963842,0.0198936871,0.0156771227,0.0335442056,0.0243764507,0.0141455857,0.0236392613,0.0311170824,0.0826846645,bom
0.7191503829,0.0220116630,0.0503937001,0.1758108907,0.1585356680,0.4913584033,0.4332527923,0.4279835391,0.0486975609,0.0503937001,0.1585356680,0.1609553492,0.0037414552,0.1205232976,0.1205232976,0.0213002400,0.0486975609,0.0108976578,0.1585356680,0.1585356680,0.4551724138,0.4315138796,0.9555869251,0.8127527453,0.1797062374,0.0274509804,0.0398581155,0.1232458579,0.3784504426,0.2342845994,0.7071984257,0.4733109866,0.1444156926,0.4285714286,0.0538831182,0.1697357156,0.2874366199,0.1126696971,0.2688716263,0.3586842653,0.5312500000,0.3514829571,0.4968897860,0.0503937001,0.0555555556,0.3562653612,0.0149253731,0.0552486188,0.0411522634,0.0437710438,0.0331325301,0.0229885057,0.0253910832,0.0375916860,0.0418004821,0.1339155595,0.0395606604,0.0378798626,0.0915673859,0.0436753369,0.0161887203,0.0247481449,0.0349516519,0.1114629718,bom
0.6418395717,0.0285062194,0.0422539508,0.1344876743,0.1396534157,0.4417389123,0.4254537227,0.5473251029,0.1444705513,0.0422539508,0.1396534157,0.1734207061,0.0369498076,0.1291777154,0.1291777154,0.3679440710,0.1444705513,0.2366325984,0.1396534157,0.1396534157,0.4758620690,0.4134629860,0.5074348861,0.8657241539,0.1211513608,0.7490196078,0.0386366876,0.1523037285,0.5168676764,0.3084203092,0.6866687691,0.8030945575,0.1244974955,0.4464285714,0.0277049217,0.1048866158,0.0634301550,0.0112420547,0.0764879720,0.0468585433,0.7500000000,0.1644331764,0.9230258949,0.0422539508,0.2777777778,0.4014089791,0.1343283582,0.0607734807,0.0493827160,0.0572390572,0.0481927711,0.0488505747,0.0043899685,0.0019512335,0.0374282749,0.0294877974,0.0078546445,0.0180570683,0.0264115854,0.0186557517,0.0179719549,0.0310733228,0.0458002124,0.1198675719,bom
0.6602716036,0.0458245093,0.0461356247,0.1568289744,0.1488254439,0.4640537452,0.7055970246,0.5452674897,0.0707019806,0.0461356247,0.1488254439,0.1734659260,0.0108439834,0.1419265145,0.1419265145,0.1045244910,0.0707019806,0.0764591307,0.1488254439,0.1488254439,0.5103448276,0.3803723523,0.8129705547,0.7769322510,0.1537042178,0.7098039216,0.0141916705,0.0702889942,0.6684115954,0.1574530727,0.8353022249,0.5869661456,0.0660721582,0.5892857143,0.0114915818,0.0520646516,0.0581795649,0.0079598608,0.0336633961,0.0767609605,0.5625000000,0.3228063356,0.8892760150,0.0461356247,0.4166666667,0.4282162754,0.0149253731,0.0276243094,0.0246913580,0.0471380471,0.0602409639,0.0574712644,0.0050395474,0.0024693825,0.0203584081,0.0231155931,0.0096051694,0.0406304683,0.0195466760,0.0140932829,0.0215615511,0.0280212091,0.0679597116,0.0896975633,bom
0.7070740213,0.0213588837,0.0798106848,0.2386219793,0.2180119304,0.8050623031,0.5355766264,0.4835390947,0.1120602073,0.0798106848,0.2180119304,0.1615222688,0.0082001635,0.1831117785,0.1831117785,0.1296728545,0.1120602073,0.0763585246,0.2180119304,0.2180119304,0.4965517241,0.3912497260,0.7755916961,0.8426383794,0.2382656358,0.2666666667,0.0395706282,0.1337243464,0.4099327420,0.2598908496,0.6628095895,0.5574244504,0.1136727086,0.3928571429,0.0452195224,0.1500829688,0.1655827373,0.0369434468,0.1369108702,0.1430093156,0.4687500000,0.3916485955,0.7370100566,0.0798106848,0.5833333333,0.4191110212,0.0298507463,0.1215469613,0.0864197531,0.0774410774,0.0572289157,0.0862068966,0.0299077164,0.0312839123,0.0660706871,0.0337892604,0.0922197179,0.0470745905,0.0615202155,0.0677053144,0.0391971140,0.0746105624,0.0711401111,0.0819400585,bom
