mean_vel,std_vel,temp_ste,temp_mag,temp_roms,temp_mean,temp_tc,temp_zcr,temp_itv,temp_var,temp_std,temp_skewness,temp_kurtosis,temp_ce,temp_ce_norm,temp_crest,temp_max2min,temp_mag2rms,temp_rms2,temp_rssl,temp_mnp,temp_adp,temp_ety,temp_md,temp_iqr2,spec_f0,spec_ste,spec_mag,spec_sc,spec_si,spec_sim,spec_sfm,spec_flux,spec_sro,spec_var,spec_std,spec_skw,spec_kts,spec_max2min,spec_mag2rms,spec_mnp,spec_adp,spec_ety,spec_cov1,spec_cov2,spec_cov3,spec_peaks1,spec_peaks2,spec_peaks3,spec_peaks4,spec_peaks5,spec_peaks6,spec_peaks7,spec_peaks8,spec_peaks9,spec_peaks10,spec_peaks11,spec_peaks12,spec_power1,spec_power2,spec_power3,spec_power4,spec_power5,spec_iqr2,label
0.2246123738,0.1851049965,0.0604555190,0.2117238594,0.2072041269,0.5940428912,0.6209328950,0.3035143770,0.0966884764,0.0604555190,0.2072041269,0.1232554480,0.0208602611,0.1152788348,0.1152788348,0.1900183560,0.0966884764,0.1010341753,0.2072041269,0.2072041269,0.5000000000,0.3235294118,0.7187434354,0.7449131003,0.1770475662,0.0275590551,0.0607095852,0.1428218321,0.2745798571,0.2751562925,0.6094128368,0.4607984099,0.2387898727,0.5425531915,0.0753488997,0.2432401894,0.4755177113,0.2660974481,0.3359937174,0.5318906199,0.5384615385,0.2952755906,0.3436402565,0.0604555190,0.0000000000,0.2326682719,0.0652173913,0.1033057851,0.0843672457,0.0825892857,0.1446808511,0.1210855950,0.0201720942,0.1027997689,0.1354907329,0.0735754201,0.0716537313,0.0384796460,0.1487351701,0.0553795828,0.0146624851,0.0194552544,0.0070528850,0.1339091575,obstaculos
0.1733209105,0.1244275432,0.1167531773,0.2854522596,0.3067114590,0.4664813344,0.5725246381,0.0734824281,0.1284658174,0.1167531773,0.3067114590,0.1703900818,0.0270815015,0.0629627406,0.0629627406,0.1546575780,0.1284658174,0.1147633490,0.3067114590,0.3067114590,0.4166666667,0.3983849966,0.6970260428,0.7788021429,0.1881567858,0.0275590551,0.1172589345,0.1368469754,0.0000000000,0.2168819242,0.5331158552,0.0408396460,0.3643613446,0.3510638298,0.1984303551,0.4207183441,0.5792294148,0.3379861468,0.5874253566,0.6941774364,0.5576923077,0.2794789540,0.0905561382,0.1167531773,0.8000000000,0.3387014752,0.0869565217,0.1074380165,0.0794044665,0.0937500000,0.1000000000,0.1336116910,0.0178505212,0.2510375512,0.3573418326,0.4993888420,0.2082485040,0.1262493329,0.3865009708,0.1535804937,0.0072703345,0.0111560302,0.0041017724,0.0956613487,obstaculos
0.1660838078,0.0574614708,0.1245765134,0.3031001343,0.3184729693,0.4064336775,0.2990101309,0.1437699681,0.1459776975,0.1245765134,0.3184729693,0.1375163850,0.0284510891,0.0901630466,0.0901630466,0.1891079065,0.1459776975,0.1368979879,0.3184729693,0.3184729693,0.3833333333,0.4321042701,0.6538729761,0.7695048603,0.2065449156,0.0314960630,0.1251385736,0.1557402356,0.0645006204,0.2552770102,0.4934790925,0.1049656300,0.3287799468,0.3829787234,0.2039650447,0.4271447756,0.5201443328,0.2547006962,0.4649765682,0.4930505897,0.5000000000,0.3385826772,0.1974708104,0.1245765134,0.0000000000,0.1163852899,0.1159420290,0.1198347107,0.0893300248,0.1183035714,0.1319148936,0.1628392484,0.0145263467,0.3034363008,0.2759231322,0.2912670900,0.1168683579,0.0492571091,0.3602151758,0.1676615110,0.0087675468,0.0119830947,0.0049096581,0.1151893349,obstaculos
0.2009503973,0.1658768696,0.1603086232,0.3644904550,0.3681005386,0.4432883241,0.3756000043,0.2076677316,0.1558430826,0.1603086232,0.3681005386,0.1586394001,0.0235648538,0.1075171267,0.1075171267,0.1597287844,0.1558430826,0.1354026156,0.3681005386,0.3681005386,0.4333333333,0.3795259193,0.7209705657,0.7562852025,0.2654849268,0.0314960630,0.1610320499,0.1840866287,0.1169065210,0.2971700365,0.4850918408,0.1984688489,0.4232970762,0.4787234043,0.2612627941,0.4891769194,0.5771999470,0.3208497482,0.6275849427,0.6132674491,0.5192307692,0.2959234526,0.1254729728,0.1603086232,0.8500000000,0.3711533158,0.1159420290,0.1322314050,0.1017369727,0.1227678571,0.1297872340,0.1732776618,0.0179106720,0.4456236401,0.4071373043,0.3604104851,0.2273960371,0.1018054305,0.5086134811,0.2048226340,0.0097625035,0.0179502561,0.0109946275,0.0921556229,obstaculos
0.1789838761,0.1551389221,0.0684717509,0.2202841767,0.2235157702,0.6007942812,0.4886701490,0.1150159744,0.1025639941,0.0684717509,0.2235157702,0.1452879575,0.0245455390,0.0632089518,0.0632089518,0.1849386304,0.1025639941,0.1353809328,0.2235157702,0.2235157702,0.3666666667,0.4523809524,0.6908942687,0.7693470045,0.1769555334,0.0275590551,0.0687803172,0.1110763620,0.0876006954,0.1910069561,0.5765058700,0.0912456579,0.2371449855,0.4148936170,0.1093617663,0.3014131042,0.5467514173,0.3195833267,0.4307261298,0.6669805754,0.6346153846,0.2248263085,0.1628520021,0.0684717509,0.9000000000,0.3171954059,0.1086956522,0.1033057851,0.0794044665,0.0982142857,0.1063829787,0.0918580376,0.0075510619,0.1329414238,0.2008689661,0.2388866578,0.0825234801,0.0554581618,0.2101040543,0.0868249851,0.0072972249,0.0113391154,0.0032439282,0.0873724041,obstaculos
0.1474661590,0.0354978742,0.0502267813,0.1789055883,0.1848153969,0.4546465449,0.4895629294,0.1469648562,0.0932516247,0.0502267813,0.1848153969,0.1736273575,0.0262777582,0.0458939421,0.0458939421,0.2175535289,0.0932516247,0.1588845190,0.1848153969,0.1848153969,0.4583333333,0.3585349462,0.6455357135,0.7305939781,0.1331531178,0.0275590551,0.0504363339,0.0893919230,0.1421780008,0.1683563743,0.6642433615,0.2687090964,0.2486649161,0.4574468085,0.0804247780,0.2526365310,0.5499349097,0.2903269422,0.3171855059,0.5595409887,0.5000000000,0.3280839895,0.1762010823,0.0502267813,0.0000000000,0.2194486676,0.0797101449,0.0950413223,0.0719602978,0.0781250000,0.0872340426,0.0709812109,0.0084173188,0.0941837098,0.1529456969,0.2158209388,0.1261461038,0.0528748932,0.2065911353,0.0538190802,0.0025106556,0.0070693398,0.0019609047,0.0538668502,obstaculos
0.2001605358,0.1604148766,0.1082838686,0.2942927445,0.2935376240,0.3108022240,0.5327081155,0.1214057508,0.1250687770,0.1082838686,0.2935376240,0.1137012651,0.0218447476,0.0877860111,0.0877860111,0.1605525128,0.1250687770,0.1064124021,0.2935376240,0.2935376240,0.4666666667,0.3508530088,0.7246427534,0.8077659027,0.2492735896,0.0275590551,0.1087558135,0.1478489924,0.1199847072,0.2552558781,0.5564339157,0.2277075583,0.3708168537,0.4893617021,0.1740748197,0.3913235557,0.6034791603,0.3591015397,0.5523609189,0.6752437934,0.5000000000,0.3385826772,0.1184211114,0.1082838686,0.8250000000,0.3433871929,0.0579710145,0.1115702479,0.0843672457,0.1026785714,0.1127659574,0.1419624217,0.0127900696,0.2020387137,0.3439622301,0.3786078313,0.1374628174,0.0412528358,0.2882698439,0.1477103863,0.0135498162,0.0083420939,0.0051159918,0.0914003791,obstaculos
0.2715525891,0.1409923973,0.0667605536,0.2052332653,0.2201136173,0.5193010326,0.5826021810,0.4792332268,0.1167045082,0.0667605536,0.2201136173,0.1697316735,0.0357951587,0.1530091615,0.1530091615,0.2424125856,0.1167045082,0.1778410968,0.2201136173,0.2201136173,0.7166666667,0.1568448952,0.6188571152,0.8028303906,0.1568251048,0.0236220472,0.0669897417,0.1659377693,0.3895506458,0.3132566400,0.5004226186,0.4293283037,0.1558943762,0.7872340426,0.0744655070,0.2415737474,0.3089143033,0.1210303590,0.2381569623,0.3109878121,0.4807692308,0.3238572451,0.5470352741,0.0667605536,0.3000000000,0.2765800701,0.4057971014,0.3553719008,0.2704714640,0.2522321429,0.3872340426,0.8037578288,0.1203906804,0.0647278936,0.0042161123,0.0173940401,0.0066560259,0.0117861333,0.1573272947,0.0537223043,0.0083103267,0.0329437065,0.0312369848,0.1768179755,obstaculos
0.2319600844,0.2843378214,0.1278157461,0.3531468513,0.3232370573,0.5750595711,0.4921943118,0.4281150160,0.1536902954,0.1278157461,0.3232370573,0.0807257754,0.0179692363,0.2635990829,0.2635990829,0.2041228523,0.1536902954,0.1284681825,0.3232370573,0.3232370573,0.6750000000,0.1871727749,0.7255434344,0.8544454460,0.3298244313,0.0314960630,0.1283713649,0.2727396769,0.4635122554,0.4626790264,0.4830788572,0.6141937536,0.3231352087,0.7127659574,0.1187094953,0.3157755773,0.3322394885,0.1511338289,0.3472200378,0.3202513925,0.5192307692,0.2959234526,0.5397146491,0.1278157461,0.7250000000,0.3225105993,0.1231884058,0.1322314050,0.1042183623,0.1071428571,0.1276595745,0.7390396660,0.0291609571,0.1977045889,0.1494364775,0.0687560344,0.0375425863,0.0428851345,0.2625688171,0.0691058063,0.0279279153,0.0785039524,0.0603892404,0.2352407644,obstaculos
0.3041810116,0.2990478296,0.1957666704,0.4249038455,0.4122163358,0.6915011914,0.5335713233,0.4217252396,0.1967703827,0.1957666704,0.4122163358,0.1765069193,0.0288930692,0.3049475966,0.3049475966,0.2088642608,0.1967703827,0.1781009172,0.4122163358,0.4122163358,0.7083333333,0.1667097463,0.6837646817,0.8608334679,0.3635136537,0.0275590551,0.1965186308,0.3121024528,0.4118716836,0.4764222918,0.3672874508,0.3991262774,0.3153698431,0.7765957447,0.2229934653,0.4486052327,0.3433310316,0.1551757255,0.4862090104,0.3759829458,0.4038461538,0.4235789020,0.4821259568,0.1957666704,0.1500000000,0.1416219039,0.4130434783,0.3677685950,0.2183622829,0.2633928571,0.4106382979,0.8517745303,0.4149345362,0.0887821130,0.0317175447,0.0582935134,0.0152907388,0.0411991987,0.4282762691,0.1454851250,0.0199870607,0.1242704898,0.0823406125,0.3536094682,obstaculos
